,Year,NOC,Gold,Silver,Bronze
0,2016,USA,46,37,38
1,2016,GBR,27,23,17
2,2016,CHN,26,18,26
3,2012,USA,46,28,29
4,2012,CHN,38,27,23
5,2012,GBR,29,17,19
6,2008,CHN,51,21,28
7,2008,USA,36,39,35
8,2008,RUS,23,21,28
9,2004,USA,36,39,26
10,2004,CHN,32,17,14
11,2004,RUS,28,26,36
12,2000,USA,36,24,31
13,2000,RUS,32,28,29
14,2000,CHN,28,16,14
15,1996,USA,44,32,25
16,1996,RUS,26,21,16
17,1996,GER,20,18,27
18,1992,EUN,45,38,29
19,1992,USA,37,34,37
20,1992,GER,33,21,28
21,1988,URS,54,31,46
22,1988,GDR,37,35,30
23,1988,USA,36,31,27
24,1984,USA,82,61,30
25,1984,ROU,19,16,17
26,1984,FRG,17,19,23
27,1980,URS,80,69,46
28,1980,GDR,47,37,42
29,1980,BUL,8,16,17
30,1976,URS,49,41,35
31,1976,GDR,40,25,25
32,1976,USA,34,35,25
33,1972,URS,50,27,22
34,1972,USA,33,31,30
35,1972,GDR,20,23,23
36,1968,USA,45,28,34
37,1968,URS,29,32,30
38,1968,JPN,11,7,7
39,1964,USA,36,26,28
40,1964,URS,30,30,33
41,1964,JPN,16,5,8
42,1960,URS,43,29,31
43,1960,USA,34,21,16
44,1960,ITA,13,10,13
45,1956,URS,37,29,32
46,1956,USA,32,25,17
47,1956,AUS,13,8,14
48,1952,USA,40,19,17
49,1952,URS,22,29,19
50,1952,HUN,16,10,16
51,1948,USA,38,27,19
52,1948,SWE,17,11,18
53,1948,FRA,11,6,15
54,1936,GER,38,31,32
55,1936,USA,24,21,12
56,1936,HUN,10,1,5
57,1932,USA,44,36,30
58,1932,ITA,12,12,12
59,1932,FRA,11,5,4
60,1928,USA,22,18,16
61,1928,GER,11,9,19
62,1928,FIN,8,8,9
63,1924,USA,45,27,27
64,1924,FIN,14,13,10
65,1924,FRA,14,14,12
66,1920,USA,41,27,27
67,1920,SWE,19,20,25
68,1920,BEL,16,12,14
69,1912,USA,26,18,19
70,1912,SWE,24,24,17
71,1912,GBR,10,15,16
72,1908,GBR,56,50,37
73,1908,USA,22,12,12
74,1908,SWE,8,6,11
75,1906,FRA,15,10,16
76,1906,USA,12,5,6
77,1906,GBR,8,12,5
78,1904,USA,76,79,75
79,1904,CAN,4,1,1
80,1904,CUB,4,0,0
81,1900,FRA,28,40,34
82,1900,USA,21,16,17
83,1900,GBR,19,11,12
84,1896,USA,11,6,2
85,1896,GRE,10,17,17
86,1896,GER,7,5,2
